text,sentiment_score,lang
"\""Il Sanremo Baseball è tornato in serie B e merita più spazio sui mezzi di informazione\"": \""Di tutto questo, dell... http",2,it
My body is exhausted. I walked from 79th and Jeffery to the lakefront\u002c where i accidentally sat on dead fish\u002c to 55th and King Dr. and back. ,0,en
L’éolienne : au coeur de la révolution des énergies renouvelables &gt; Eolien – http http,1,fr
Les intranets et leur écosystème : Portrait des usages et meilleures pratiques http v/ @user,2,fr
"@user sure us liberals can be annoying, but this doesn't negate issues of inequality. He is locked onto the same pts over & over ",0,en
"SÓ NÃO ME CORTA OUTRO DEDO, CARAIO! #MasterChefBR",0,pt
C’est une première : des scientifiques élaborent une cellule solaire qui stocke sa p ropre énergie | Daily Geek Show http,2,fr
@user @user la Sicilia ha sempre capito tutto in anticipo.,2,it
Quant l'art éveille sur les enjeux écologiques ... http #art #ecologie #planète,2,fr
Schweiz: Gemüseproduzenten kritisieren Energiestrategie http,1,de
@user okay I'll admit PC may be better but PS4 is just my preference and always will be. I just like console lol. ,2,en
Presidency: Military may wipe out Boko Haram insurgents ahead deadline: The Nigeria military could wipe the in... ,2,en
"Nao gosto de #passarroupa hoje em dia, imagina antigamente com esse dinossauro😾😹😹 #MaisVoce",1,pt
TT ITALIA 22:28 1.#Grillo 2.#serviziopubblico 3.#piazzapulita 4.Prince Of Persia 5.Renzi 6.Franca Rame 7.Partito della Nazione 8.Nero Wolfe,1,it
"Ségolène royal, reconduite dans ses fonctions : Les professionnels des énergies renouvelables rassurés - http",2,fr
"#piazzapulita Formigli: \""Mi levate l'audio di #Grillo che mi dà fastidio\"". È comunicazione di servizio, ma anche la frase clou della serata!",2,it
RT @user: Energies vertes : l'Etat finalise le nouveau système de soutien http,2,fr
"""I remember standing on Suncorp 15 mins b4 1st Lions Test &amp; @user saying, """"this is rugby nirvana"""".Today match it mate? #MarlinsWallabies"" ",1,en
"PQP, não pode ficar entre Vitor B e Yuko. TEM QUE SAIR OUTRA PESSOAAAA... qualquer um!!!! #MasterChefBR",0,pt
Te caldo anche d'estate Ma sono Pazzi? - Te caldo anche d’estate Ma sono Pazzi? …Capita spesso di vedere... http,0,it
"Fue un bonito fin de semana cumpleañero : amigos, familia, torta, comida rica, juegos de mesa y muchas risas. Me siento bendecido y feliz",2,es
Radars météos et éoliennes : le ministère de l'Ecologie propose un assouplissement: Dans la ligne d... http #écologie,2,fr
"Governo Monti, Napolitano: Operare per il bene del Paese - Politica e Società 2.0 http via @user",2,it
"\""@user: #Alemanno: \""il voto a #Grillo blocca l'Italia\"". Il consiglio di uno che se ne intende. In fondo ha già bloccato #Roma...\""",0,it
.@user @user @user per #labuonascuola  domani 30 ottobre a Milano Zona 7 http http,1,it
"Commissions (inter)communales pour l’accessibilité, des observatoires locaux de l’accessibilité (via @user) http",1,fr
"@user si , tengo q ver, para ir a la clínica tengo q pedir mínimo 2 días de vacaciones xq ni carnet tengo y no tengo dias",1,es
Tomorrow will be an exciting day at FBC as we celebrate baptism with 4 new Christians! Join us to worship God who saves us in Christ! ,2,en
"GOVERNO, MONTI: SQUADRA SNELLA, FORTE, TRASPARENTE il Velino/AGV Agenzia Giornalistica il Velino http",2,it
"""Trayce Thompson's 2-run double gives the White Sox a 5-4 lead in the 7th. Is 3-for-4 with a double, triple and 3 RBIs."" ",1,en
Technip lance un investissement majeur dans son usine normande http #ecologie,2,fr
La buona scuola - PAROLA D'ORDINE: LIBERARE RISORSE PER LA RIPRESA | ITP - L'Orizzonte della Scuola http,1,it
Il governo Monti è troppo tenero con gli sprechi della casta POLITICA http,0,it
Samoa : les problèmes des petits Etats insulaires affectent le monde entier  http #ecologie Mediaterre,0,fr
@user Jetzt muss ich dich wohl bestrafen. :-),2,de
Vanessa da Matta tá parecendo a Beth Carvalho #altashoras,1,pt
@user bueno felicidades por el millon de crack que hay en el canal !! soy un suscriptor ya un poco antiguo a por mas DE PERU,2,es
"RT @user: ...verdrängt, erfolgreich. Schrecklich. #Gladbach #10JahreAuswärtsgrütze",0,de
Agora é a vez do meu anjo  #MasterChefBR,2,pt
@user 😶,0,de
@user Danke! Wir geben uns Mühe! :-),2,de
#Grillo magari non avrà risposte certe per l'Italia.. Ma è una ventata di freschezza ed è dalle novità che nascono le idee migliori!,2,it
@user Le meilleur moyen de produire des gaz à effet de serre.,2,fr
Corinne Lepage : Investir dans les énergies renouvelables - Journal des Professionnels http,2,fr
Obrigada por mostrar minha deusa Vivianne Pasmanter #VideoShowAoVivo,2,pt
"que bueno , dan más mg a más jajaja pero wee",2,es
#Piazzapulita Il primo applauso è all'imprenditore che dice politici tutti a casa. #Monti compreso. #Grillo si starà fregando le mani,1,it
"@user Richtig, dafür trage ich auch schon Material zusammen :-)",2,de
Ecologistes et communistes sans merci à La Rochelle  — via @user http,0,fr
Leute momentan keine folge weil wegen Lets Fail partner nicht da Sry! ;),0,de
R.I.P #Lee #Thompson #Young fallen solider #too #young,0,de
Mkhitaryan zum zweiten. Wat ne geile Bude aber auch #bvb,2,de
"@user dançando ""funk gospel"" HAHAHAHA, Chorei! 😂 #TheNoite @user @user.",2,pt
"Schon gewusst: 4010 hat das Comfort Complete Friends L Paket, bei dem Ihr 24x 10,- € sparen könnt....und wir... http",1,de
"@user ouep, je suis à fond dans l'écologie",1,fr
@user die Schönheit ankommt. Endlich mir folgt. Thanks heaps :),2,de
Pézinho da Paola #MasterChefBR,2,pt
📷 “Cuba sends physicians all over the world. The U.S. responds with an embargo.” Via USSR 2.0 ,0,en
#MasterChefBR admiro a calma e a classe da @user,2,pt
"@user Vieras que a mi lo del dresscode de mi brete no me molesta, sólo quisiera poder teñirme el pelo morado",1,es
#videoshowaovivo A Fátima é uma profissional admirável!Parabéns!,2,pt
"Et en Catalogne aussi, on s'aligne sur le lobbying hs http",1,fr
Image: Messi has been voted as the Champions League player of the week #fcblive [uefa] ,1,en
"@user jajaja perdón, la serie está muy buena",2,es
@user 3 Punkte gegen euch sehr nice !!!,2,de
Per il fatto che sono di Torino come voi dovete seguirmi(?)xD (@user live on http,1,it
@user @user Quando invece riaprii i miei occhi mi accorsi che non era un sogno...Era tutto nitido e reale!Grigio e freddo...,0,it
VAI SE FUDER TÔ PUTAAAA ESSA MIRIAN RIDÍCULA SE FODE #MasterChefBR,0,pt
Samurai quer sushi pra comer. #AltasHoras,1,pt
Third and this is key here. Earning money is bad because alt-energy but OK because fossil fuels? Your entire point… ,0,en
"Gosto mais do #timeazul, porém o menu do #timevermelho foi mais atrativo pra mim #MasterChefBR",1,pt
"nicht mehr ganz frisch: George Clooney's ""Monuments Men"" (2013) First Look! ENTV: http via @user",1,de
serasse hj a Mirian sai???? #MasterChefBR,0,pt
"Étrangement, je doute que ce soit pour financer des éoliennes et des fermes de chanvre bio.",0,fr
"estoy entre dos, pero las dos son súper caras",0,es
"Por cierto, @user, este año estoy en el grupo 2 de Interpretación, así que no te veo tampoco en las dos horas esas",0,es
#Tunisie:3 mois de prison pour toute personne jetant les ordures n’importe où :) ..OK bien et pour les déchets radio-actifs et toxiques ?,0,fr
@user und wann sollte ich wo erscheinen? Bzw hat der @user die Frau nun um Erlaubnis gefragt? ;),2,de
“Guten nacth schatzi“,2,de
@user especially because it was in german. Danke Schönes Mädchen😊,2,de
@user @user je poste ainsi sur FB mes évolutions écologiques je devrais exposer a #valls mon grand projet rééducatif. Lol.,2,fr
Victimes de la route les serpents disparaissent via @user http,1,fr
con @user e Roberto Proietto #labuonascuola a Milano Circolo PD Caponnetto  http,1,it
@user #Jets get Big Ben off the field on 3rd down I\u2019m convinced we win. Everything changes. I\u2019m depressed now @user @user ,0,en
"""früher war alles besser"" darauf wirds wohl hinauslaufen",1,de
Melhor programa da tarde 👏 #VideoShowAoVivo,2,pt
Bénin : 105 localités bénéficieront d’un programme d’électrification à base d ‘énergie solaire http,2,fr
"@user mami, stupenda la recensione di a song for xx. spero che parlerai anche degli altri album perché ho imparato un sacco da questa :D",2,it
"Leute die zuviel Inhalt von Büchern &amp; Filmen verraten, verraten auch: wann der Nachbar Sex hat, nach Hause kam, den Müll raus bringt usw. :)",2,de
Aku mau comeback dulu ya. Guten Nacht und Auf wiedersehen #DEUTSCH,1,de
Aí agora já vi outro Tweet e não tenho mais certeza de quem sai #MasterChefBR ...menos mal 😤,2,pt
@user a Milano c'erano 2 rigori per il Barcellona !!!!,1,it
Poi invece di fare progressi è tornata indietro e quelle cose me le sono venute a dire e da lì ho mandato anche la nostra amicizia a puttane,0,it
11:11 que no me encuentre mal,1,es
Chi dice sì al governo Monti? La lista dei deficienti in arancione http,0,it
New #GreenDay concept album: George Soros Glued a Wig on My Head and Made Love to My Face ,2,en
"A Bela teve o neném na sala? CA RA, benza a Deus! Não tenho nenhum porcento de coragem #AltasHoras",2,pt
muss morgen zum zahnarzt.ich mag zahnärzte nicht.&amp; sie mögen mich auch nicht.,0,de
Ma alto profilo de che? Chi è davvero Mario Monti: http @user #fullmonti #crisi #lacrisiancoradevearrivare,0,it
If you wanna have some seasonal fun & #teachecon #Hatchimals are today's Cabbage Patch Kids & Tickle Me Elmo Christ… ,2,en
#NowPlaying on Wicca Radio International Folly Of Fracking by Cernunnos Rising #ListenHere ,1,en
Vaidoso e muito  rs #ConversaComBial,1,pt
Festivus is back as a twilight event on Friday 15 January. Do you like music? Do you like the arts? Do you like... ,1,en
Colocam um cara branco pra falar o que é ou não racismo na frente de 4 negros kkkkkkkkkkk pqp em globo #Encontro,0,pt
RT @user: @user ich bin doch gar nich unterwegs…!,0,de
Seja gestor de sua própria mente... Augusto Cury  #ConversaComBial,1,pt
#Intempéries : une période à #risque dans le sud-est de la France du 9 au 14 oct. | #vigilance @user @user http,0,fr
"""Ooh Operation Raccoon City is 19.99, I may pick that game up, if I have the strength to..man I gotta sleep earlier."" ",2,en
"""Having so much doing linear algebra this Friday night #not #bored #yawn #math #mathhomework #linearlagebra ",0,en
"@user @user @user OUI, bobos au service du PS! EELV ne sert à rien politiquement ( 3 %) alors que 90% des FRA aiment l'écologie",2,fr
@user Porque era el primer semestre y te daba miedo faltar. A ver si este año nos abandonas menos.,0,es
"Exausta, mas hoje tem #MasterChefBR",2,pt
#Grillo è tanto severo contro tutti quanto clemente e comprensivo con lega e leghisti.. #serviziopubblico,0,it
"Ahhhh @user, bitte spielt ihn nochmal ok? Danke :) #imascheregen #hinterland",2,de
@user jajaja exacto! Esta todo igual solo que mas serio pero nada de declaraciones aun. Solo que siempre nos decimos asi.,1,es
@user pero después de ducharme tampoco se queda así,0,es
"@user es que apuntas lo que digo. Es cierto antes de empezar la liga dije que Llorente ""había elegido"" muy bien",2,es
Namaria tá de pijama?  #maisvoce,0,pt
@user der Thies haut sich die Knie wund.,0,de
nando é o amor da minha vida mesmo #Encontro,2,pt
Was macht denn so @user heute Abend?,1,de
@user ¡Ya ves! Eso es fundamental,1,es
@user I feel it is 2nd rate. Mansbridge doesn't point out when Harper's not answering the question. Debaters would do that. ,0,en
Attraversiamo un campo minato...Tutti al passo del leopardo...!,0,it
"Vier Zeichensetzungsfehler in 140 Zeichen. Danke, @user, bin jetzt gut aufgewärmt fürs Redigieren im Frühdienst. #sponsoredtweets",0,de
"@user While I respect your commitment to diversified coverage, CNN's lack of reporting on the Dakota Access Pipeline is shameful. ",0,en
Mira que cucada 😍😍😍😍😍😍😍😍😍 Le he puesto hasta el lacito k llevaba el de ash  http,2,es
Increíble el directo de hoy me lo he pasado  de puta madre muchísimas gracias a todos,2,es
PROSSIMAMENTE IN TUTTA L' ITALIA Mario Monti & Co presentano.. http,1,it
Victor V e Ana Luiza são os destaques positivos. #MasterChefBR,2,pt
"BORSA MILANO:POSITIVA (+0,5%) DOPO AVVIO GOVERNO MONTI",1,it
"@user If Escobar was hurt I would hope you would be calling for Thor's suspension. If KC throws up tomorrow, you should have no prob"" ",0,en
Tô ansioso por hoje. Será que o leonardo sairá? #MasterChefBR,1,pt
"@user Manch einer entscheidet lieber vom Schreibtisch aus, wer sich bitteschön wovon diskriminiert zu fühlen hat, ganz ohne Nachfrage.",0,de
@user eres un carca tio,0,es
@user ci hai illuse😂😪Vabbè oltre ad essere un cantante perfetto sei anche un tatuatore,2,it
Pues que estoy hablando y en eso me sale el lado ñoño que esta dentro de mi todo mal yo hablando de trastornos de personalidad!,0,es
"Governo, Monti:Se resto in politica? Credo ne avrò abbastanza...: Ho una responsabilità straordinaria, penso so... http",1,it
Louco pra chegar em casa e ver o #MaisVoce com homenagem a Hebe! Amo sem mais!🖤🖤🖤🖤🖤🖤,2,pt
@user @user aunque hay que decir que el pokemon negro 2 me ha reventado a críticos,0,es
[Livre blanc] Optimiser et intégrer les ressources d' #énergies renouvelables http #utilities #ibm,2,fr
essas coisas acaba cmg #DomingoLegal,0,pt
"""tá apertado"" ""mas tá bonito"" a triste realidade da vida #VideoShowAoVivo",0,pt
@user @user Abrazote enorme!! Sos un éxito!,2,es
Hussein Fatal &amp; Young Noble - Killuminati 2k13 (Outlaw Nation Volume 3)... http,1,de
"""Concert this Thursday with @user ! Then hopefully get some tickets for Jason Aldean, @user and @user ",2,en
"Ho appena ricevuto la telefonata del presidente del consiglio, Mario Monti. Si è complimentato per la gestione... http",2,it
RT @user: CDU erhält erneut Großspende aus #BMW-Umfeld / Audi stoppte Spendenpraxis schon vor Jahren http,1,de
RT @user: #Syrien W. Dietrich beschreibt den worst case 'Unsere Generation wird keinen Frieden mehr sehen': http v…,0,de
(french) Réchauffement de la planète: @user sera reçu par Hollande http #COP20 #COP21 #Paris2015,1,fr
@user es lo que tiene ser un cereal,1,es
@user we got Milan last Wednesday ... she's rotten lol ,1,en
"@user lo he visto en snap y mira, porque tengo el PC apagado y estoy en cama que si no",0,es
1 300 espèces menacées : comment les oiseaux sont en train de disparaître dans l'i... | @user via @user http,0,fr
@user Joder te has cambiado demasiado el avatar y no sabia quien eras,0,es
@user Grazie :D,2,it
#italiansgottalent come ha fatto questo a slegarsi? o.o,1,it
"Hoy ha sido un día duro, y me he pillado un dedo con una puerta y me duele mucho  pero se me pasa sabiendo que mañana veo a @user 💚💚",1,es
SAVE THE DATE #colloque Filières et Recyclage #Paris 14/15 octobre http via @user A relire http,1,fr
If my stomach still feels funny tomorrow\u002c I\u2019m going to punch one\u002c or possibly all\u002c of the Jordan kids right in the kidneys. ,0,en
"""For the 3rd year in a row,I total spaced and missed International Talk Like a Pirate Day...Argh"" ",0,en
"""Meine Paranoia ist allgemein bekannt"": Snowden brauchte die besten Journalisten http via @user",1,de
About last night: Kris Bryant wins a wild one with walk-off home run in the 9th. #Cubs photos: ,2,en
@user y vos tan sano,0,es
"Eu sou ""meseira"" e nem sabia!!!! #meseira #MaisVoce",2,pt
"@user en el debate que he estado leyendo, en el blog de Silvio @user lo pone el gran @user citando al Che.",1,es
@user en francia probé un ramen de bolsa que era más rico que Tokyo Ramen llévenme al primer mundo,2,es
"Énergies éoliennes et photovoltaïques : inconstantes, on ne peut pas compter sur elles http via @user",0,fr
SPLC's Christian Killer gets 25 years but SPLC gets a pass ,0,en
"... #Politik ... Herzspende, amtl. beurkundet, zu Gunsten der Partei. Damit nicht Wort, aber Takt in anderer Hülle weitersCHlägt lägt ägt gt",1,de
“Elu adjoint au Maire de Paris ... chargé de toutes les questions relatives à la propreté et au traitement des déchets”,1,fr
Beziehungsstatus: DIESE EINE LIEBE WIRD NIE ZU ENDE GEHEN,2,de
Creo que alguien me ha bloqueado. Es una sensación rara porque empezaba a tenerle cariño a esa persona y no lo entiendo. Me siento mal,0,es
#Rich 15 Stunning Photos Of A Young Melania Trump ,2,en
@user @user @user Yeah Grayson Allen. 17 points vs W&M ,2,en
@user podrías solidarizarte conmigo y no comer ninguno...,1,es
@user it's gonna at least be a new iPhone event.  It's that time of year ago. The next iPhone comes out on/or around Sept 18th. ,2,en
Because I'm a bot; I'm a bot.Nicht gelöst; Halluzinationen und von Panikattacken hab brauch ichs nicht vor dem dritten Glas Riesling.,0,de
DJ Hochzeit Rügen buchen bei Fischer Spezial - Musik für Hochzeit auf Rügen buchen bei DJ Hochzeit RügenDJ... http,1,de
"""Watching Michael Ball's performance of Empty Chairs At Empty Tables in the 10th anniv, and hit with SUDDEN EXTREME FEELS OGOD PERFECTION"" ",2,en
"Um close é um close né more, adoro o Douglas #MasterChefBR",2,pt
Of many single issue reasons to reject Harper. This is one. Imagine the cost of removing all that concrete. #elxn42  ,0,en
Fabio Capello (Russia\u2019s head-coach) wishes Cristiano\u2019s injury was more serious. (Russia will play against Portugal tomorrow in the WCQ) ,0,en
La Ciotat vent debout contre la réouverture du Mentaure http,2,fr
Papão bicampeão no #AltasHoras 👏💙,2,pt
"Aujourd'hui, j'ai détruit un écosystème entier, une journée bien remplie.",0,fr
"Aqui em Belém do Pará , o dindin é  chopp.  #VideoShowAoVivo",1,pt
"Despertar con la noticia de esta terrible tragedia . Dios los tenga en su gloria campeones , sabiduría y resignación para las familias",0,es
A un paso de darle una vuelta completa a nuestro sol Lov u @ El Tizón,1,es
@user's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,0,de
Endlich wieder! (@ Stadionbad w/ @user) http,2,de
tom brady supports Donald trump. Therefore he's gonna throw 4 pics and pull his hamstring on Thursday night. ,1,en
Nouvelle loi sur la rénovation énergétique : obligations en cas de travaux: La ministre de l’écologie et de l’... http,1,fr
"Detesto Miriam, mas gosto do Leo, torço por ele e Yuko #MasterChefBR",1,pt
"@user JA JA JA JA JA  Teneis el ojino como la bandera de Japón ,hijos de la gran puta",0,es
"Aogo? Wofür? Sinnlose ""Verstärkung"" #s04",0,de
@user he waited to long with lennox he should of finished him\u002c both Klitschko\u2019s seem to wait till the 6th and 7th round to finish people ,1,en
Mama G said we could go see Paper Towns tomorrow and I SWEAR if she cancels on me ,1,en
Mami va a bajar la velocidad del internet pero mejor eso a que lo quite,2,es
"""You've just flushed your life down the toilet, Taker. This Sunday, Brock Lesnar will fucking kill you!"" ",0,en
Déclaration NDDL Convergence des luttes http via @user:La_FASE,1,fr
De plus en plus de moteurs d'impression remplace la technologie d'imagerie laser par des LED #oki #toshiba #brother #xerox / #ecologie,1,fr
@user es una de las cosas más lindas que te enseña la vida,2,es
Sunday July 19 is National Ice Cream Day!  Come celebrate with a free scoop of ice cream at Altman's from 1 to 6PM! ,2,en
@user the same way Joel Skinner held Kenny Lofton at 3rd in 07. #Destiny ,1,en
Acabei de ver #MasterChefBR e tô um pouco abalada com essa eliminação 😢,0,pt
Si ricomincia sperando che sia davvero l'anno de #labuonascuola! #scuola #primogiornodiscuola,2,it
belli giovani e intraprendenti.. le foto dei possibili ministri del #governo #monti http #italia #occupy,2,it
Me he sentado en un hormiguero,0,es
"@user Ganz schön lange, äh, langsame Leitung :-)",0,de
Pure io volevo fare gli auguri alle vostre mamme.Tutte perfette e amorevoli le vostre!,0,it
@user la próxima vez que vaya a Madrid no estarás en mis planes. Maldita,0,es
No es bonito estar sin celular,0,es
"@user recién me levanto, es un día muy bonito sin sol",2,es
Turkey is #ISIS itself @user @user @user @user @user #BlackFridayTactics ,0,en
#Buongiorno sono quasi le 8 del mattino ed e' ancora buio! E piove.,0,it
"#ConversaComBial com as lindas @user  altas risadas! ❤ Parabéns,meninas!😘",2,pt
Rumour has it @user will be joining FCC on 22nd of August for fines night dress as Hulk Hogan? @user @user ,1,en
"@user Un bon endroit pour installer des éoliennes, là où il y a du vent : UMP",2,fr
aunque sea una putaaa ajajajaja re desesperado,1,es
@user ausgeglichen,1,de
"@user did you explain to him how Qatar, your backers, &amp; Saudi Arabia were responsible for its destruction? ",0,en
@user tío peguemos al Lau  Sigues teniendo mi primer grinder?,1,es
Nous le verrons prochainement dans le cours sur le développement durable http,1,fr
Hervé Maurey reçoit la commission développement durable à la place de Chantal Jouanno http via @user,1,fr
Que ganas tengo de volver a disfruta pronto de él y que lejano lo veo    #SiNoEstás4días,0,es
School in Hogwarts probably 😇 #HARRYPOTTER #FantasticBeasts 💜 ,2,en
@user todo lo que sea posible,1,es
"Emotionen respektieren, wehrhafte Zivilgesellschaft legalisieren.",1,de
vorne an'na Tankstelle noch schnell zwei Monster Ripper gekauft. endlich!!! seit über zwei wochen keins mehr. eeeeentzuuuuggg,2,de
IL GOVERNO MONTI E LA LAICITA' DELLE ISTITUZIONI http,1,it
"Mas se o Victor for desclassificado  por não  ter entregue o prato, ainda tem  eliminação?  #MasterChefBR",1,pt
@user You are a stand up guy and a Gentleman Vice President Pence ,2,en
Just donated for my third time.  We just need to keep this up for one more day.  #AuditTheVote #stillwithher ,2,en
"Butterherzli essen... Wenigstens etwas, dass Liebe gibt.",2,de
"Caro #Dalema, l'unico film che abbiamo già visto è quello che sancisce che sei un #cretino... anche senza #Grillo http",0,it
Se a Mirian ficar e o Douglas sair eu vou me revoltar num grau #MasterChefBR,0,pt
Galinhada desconstruída 😂😂😂 #MasterChefBR,1,pt
"Nossa vem aqui Lutador , aqui coisa de alto valor calórico , não falta ! #MasterChefBR",1,pt
"L'objectif: faire de la #Martinique une ""île durable, territoire à énergie positive pour la croissance verte"". #DéveloppementDurable",2,fr
L'assemblée va interdire les sacs plastiques ..on ne va plus ramasser les crottes de son chien ?au nom de l'écologie..hum,0,fr
Saudi Arabia is like Narnia to me. I may HAVE to go to Mecca one day to fulfil my religious obligation but already dreading being there. ,0,en
ich platze. das essen war so geil,2,de
#Encontro @user causando emoção em plena sexta-feira chuvosa... Chorando junto com o Cb Theodoro @user @user @user,0,pt
@user @user sge nik pag ako nangulit tungkol sa inyo sge ka. Di ko kayo titigilan. Hehehe *ngisi*,2,de
14/09 - journée d'étude sur mobilités urbaines et changement climatique @user http,2,fr
@user @user Nosotras haremos lo q sea menester para motivados,2,es
@user  rappelle importance de l'écologie industrielle et enjeux des dynamiques de création d'emplois,1,fr
"""Thompson, White Sox rally to edge Red Sox: Trayce Thompson was 3-for-4 with 3 RBI Tuesday night while li... #news"" ",2,en
@user Achei deselegante o que fez com a Thais Araújo. #MaisVocê,0,pt
#stress #exam #Deutsch #TelecomLille,0,de
Que graciosa va a estar la pretemporada,2,es
"NettyCars, nettoyage écologique de véhicules http",1,fr
"@user Vaya chufa, ayer me llegó el link para pedir el bono y ahora mismo no me funciona",0,es
Aspect social du #developpementdurable (besoins humains) http vidéo by http via @user by @user,1,fr
#ITALYLOVESBIEBER RT se anche tu pensi che la Devonne senza trucco sia ancora più bella.,2,it
"@user cool xD bitte anwort mich. warum sag man ""staatangehörigkeit"" wenn du nationalität auch sagen kannst ? xDsry for ma deutsch D:",1,de
Começou #MasterChefBR,1,pt
@user salud y forma cuesta 2mil la clase o si no en el sport center también dan,1,es
Mario Monti....la mia è una disponibilità generosa per guidare il governo.....quanto ci costa questa generosità? 20mila o 30mila al mese?,0,it
sat my sister down and we watched batman vs robin half the movie was her sobbing the other half was her staring in horror and shock ,1,en
Queen al cinema con il leggendario concerto Montreal 1981: L’attesa è quasi finita per tutti i fan dei Queen ... http,1,it
Por que soy tan romántico es lo que más quiero cambiar de mi,1,es
RT @user: Schrott Ankauf Lahib ( http ) macht das Unmögliche möglich ;),2,de
Tão dizendo que é  nina  #ConversaComBial,1,pt
EU N ACREDITO QUE O VITOR B PASSOU POR TUDO AQUILO SEMANA PASSADA PRA SAIR NESSA SEMANA AAAAAAAAAAA VAI SE FERRA #MasterChefBR,0,pt
Governo Monti: nominati Viceministro e Sottosegretario al Lavoro e Politiche Sociali: Michel Martone e Cecilia G... http,1,it
